h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89194ad16cbffff,"POLYGON ((-0.1634339148481194 51.49990510384266, -0.1655251237337054 51.49892384700236, -0.1650901802239512 51.49717645223391, -0.1625641845641003 51.49641033477576, -0.16047306991813 51.49739157097875, -0.1609078566927448 51.49913894527578, -0.1634339148481194 51.49990510384266))",Kensington and Chelsea,2444.908935546875,4,11,0,2,0,1,0,0,0,0,0,36,71,21,5,7,2,4,11,0,3,55.93073593073594,29.676487719931057,66.23985245389972,13.783549783549761,9.08463340519777,68,285,109,462,4.700480365792417,5.655991810819852,4.23410650459726,6.137727054086234,408.39735638836584,6.014686215923405,2,2,1.0986122886681098,0.00035528185693983896,0.008571743768815317,0.018858421189884893,0.4,0.007865674861121297,5.9213116739668365e-05,20,-6.7550573,10.16312,6.0183344,1,1,0,1,0,1,1,"[{'feature': 'n_restaurant', 'shap': 1.2477}, {'feature': 'n_fast_food', 'shap': 0.8232}, {'feature': 'n_bakery', 'shap': 0.6078}]","[{'feature': 'n_cafe', 'shap': 1.439}, {'feature': 'n_fast_food', 'shap': 1.0794}, {'feature': 'n_bakery', 'shap': 0.7072}]","[{'feature': 'n_restaurant', 'shap': 1.2411}, {'feature': 'n_cafe', 'shap': 0.7088}, {'feature': 'n_fast_food', 'shap': 0.4006}]","[{'feature': 'n_restaurant', 'shap': 1.2882}, {'feature': 'n_cafe', 'shap': 1.1405}, {'feature': 'violent_crime_log1p', 'shap': 0.8283}]","[{'feature': 'n_cafe', 'shap': 0.5595}, {'feature': 'n_restaurant', 'shap': 0.3995}, {'feature': 'property_crime_log1p', 'shap': 0.3984}]","[{'feature': 'n_restaurant', 'shap': 1.0969}, {'feature': 'n_cafe', 'shap': 0.7923}, {'feature': 'n_fast_food', 'shap': 0.3735}]",0.97848815,1,True Positive,0.9909377,1,True Positive,0.9827187,1,False Positive (Recommendation),0.9696078,1,Expansion Opportunity,0.8417472,1,False Positive (Recommendation),0.9161653,1,Expansion Opportunity,True Positive,0.97848815,1,1,False,False,False,True,False,True,,,Competitive,,Competitive,,2.0,0.6623985245389972,1614.50407153846,51.49815772147484,-0.16299906479114692
89194ad0d07ffff,"POLYGON ((0.0162503219151498 51.404785824891995, 0.0141627431914148 51.40380683928316, 0.0145908121325299 51.402058843910815, 0.0171063037941849 51.40128985504269, 0.0191937878976808 51.40226882032031, 0.0187658749593282 51.404016794795865, 0.0162503219151498 51.404785824891995))",Bromley,2056.7802734375,8,6,0,11,3,3,1,0,1,0,0,14,34,17,22,2,2,8,10,0,15,77.3584905660377,47.9638009049774,69.0026954177898,2.42587601078167,5.12129380053908,40,511,136,687,4.919980925828125,6.238324625039508,3.713572066704308,6.5337888379333435,351.4940852029887,5.8650338425455555,2,5,1.791759469228055,0.00035528185693983896,0.005258384252946107,0.015325969612370455,0.4,0.007865674861121297,5.9213116739668365e-05,16,-7.6741996,2.593064,-10.605359,1,1,0,1,1,1,1,"[{'feature': 'n_fast_food', 'shap': 1.4882}, {'feature': 'n_restaurant', 'shap': 1.2269}, {'feature': 'n_bakery', 'shap': 0.5401}]","[{'feature': 'n_cafe', 'shap': 1.4}, {'feature': 'n_fast_food', 'shap': 1.1456}, {'feature': 'n_bakery', 'shap': 0.6543}]","[{'feature': 'n_restaurant', 'shap': 1.1519}, {'feature': 'n_cafe', 'shap': 0.7674}, {'feature': 'n_fast_food', 'shap': 0.4631}]","[{'feature': 'n_restaurant', 'shap': 1.2977}, {'feature': 'n_cafe', 'shap': 1.1108}, {'feature': 'violent_crime_log1p', 'shap': 0.7398}]","[{'feature': 'n_cafe', 'shap': 0.7042}, {'feature': 'property_crime_log1p', 'shap': 0.5837}, {'feature': 'n_restaurant', 'shap': 0.54}]","[{'feature': 'n_restaurant', 'shap': 1.1413}, {'feature': 'n_cafe', 'shap': 0.9004}, {'feature': 'n_fast_food', 'shap': 0.7324}]",0.9921888,1,Expansion Opportunity,0.9945468,1,True Positive,0.98041016,1,False Positive (Recommendation),0.9918954,1,True Positive,0.9587533,1,Expansion Opportunity,0.9408913,1,Expansion Opportunity,Expansion Opportunity,0.9921888,1,1,True,False,False,False,True,True,,,Competitive,,,,2.0,0.6900269541778979,1349.2338274932622,51.40303784214464,0.01667829748773121
89195da4827ffff,"POLYGON ((-0.1564548344650158 51.51878776976817, -0.1585467291159062 51.517807000591205, -0.1581118812947267 51.51605989063471, -0.1555852956536582 51.515293570323465, -0.1534934953318653 51.516274318871396, -0.1539281863223997 51.51802140835819, -0.1564548344650158 51.51878776976817))",City of Westminster,2483.6171875,1,3,0,2,2,1,0,1,0,0,0,95,202,52,48,6,13,1,6,0,3,49.7326203208556,41.3145539906103,63.6118598382749,11.2299465240642,7.00808625336927,11,118,31,160,3.4657359027997265,4.77912349311153,2.4849066497880004,5.081404364984463,429.9943707845088,6.066095029193649,5,4,1.6094379124341003,0.00035528185693983896,0.008523030167759921,0.018913233953783925,0.4,0.007865674861121297,5.9213116739668365e-05,9,-6.651268,10.292932,6.0593896,1,1,0,1,1,1,1,"[{'feature': 'n_restaurant', 'shap': 1.1555}, {'feature': 'n_fast_food', 'shap': 0.7873}, {'feature': 'n_bakery', 'shap': 0.5391}]","[{'feature': 'n_fast_food', 'shap': 0.9367}, {'feature': 'n_bakery', 'shap': 0.6206}, {'feature': 'n_cafe', 'shap': 0.5791}]","[{'feature': 'n_restaurant', 'shap': 0.9172}, {'feature': 'nearby_pub', 'shap': 0.756}, {'feature': 'n_fast_food', 'shap': 0.3772}]","[{'feature': 'n_restaurant', 'shap': 1.1072}, {'feature': 'n_cafe', 'shap': 0.5768}, {'feature': 'bus_stop_count_log', 'shap': 0.3671}]","[{'feature': 'n_restaurant', 'shap': 0.3283}, {'feature': 'population', 'shap': 0.3105}, {'feature': 'n_cafe', 'shap': 0.2968}]","[{'feature': 'n_restaurant', 'shap': 0.7496}, {'feature': 'n_fast_food', 'shap': 0.4193}, {'feature': 'n_cafe', 'shap': 0.348}]",0.98781675,1,True Positive,0.984985,1,True Positive,0.97595984,1,False Positive (Recommendation),0.8340737,1,True Positive,0.83360153,1,Expansion Opportunity,0.8833391,1,True Positive,True Positive,0.98781675,1,1,False,False,False,False,True,False,,,Competitive,,,,2.0,0.636118598382749,1594.875084231805,51.51704067221687,-0.15602008016148325
89195da6a2fffff,"POLYGON ((-0.1378629804872607 51.5567518635265, -0.1399562520053266 51.55577217564232, -0.1395217532033933 51.55402565661863, -0.1369941399013898 51.55325884595268, -0.1349009629104078 51.55423851323179, -0.1353353046947302 51.55598501178049, -0.1378629804872607 51.5567518635265))",Camden,850.5968627929688,4,6,0,4,2,1,0,0,0,0,0,22,28,16,14,2,3,4,8,0,5,66.38537271448662,35.16684581620455,68.36330474506482,9.42334739803094,7.464792037814507,25,73,59,157,4.0943445622221,4.30406509320417,3.258096538021482,5.062595033026967,212.04406441372723,5.361499019495524,2,2,1.0986122886681098,0.00035528185693983896,0.00813482286612096,0.01822439999483427,0.4,0.007865674861121297,5.9213116739668365e-05,21,-6.200245,11.008262,6.2208385,1,1,0,1,1,1,1,"[{'feature': 'n_fast_food', 'shap': 1.2746}, {'feature': 'n_restaurant', 'shap': 1.1324}, {'feature': 'n_bakery', 'shap': 0.5948}]","[{'feature': 'n_cafe', 'shap': 1.4316}, {'feature': 'n_fast_food', 'shap': 1.1305}, {'feature': 'n_bakery', 'shap': 0.6059}]","[{'feature': 'n_restaurant', 'shap': 1.0899}, {'feature': 'n_cafe', 'shap': 0.7181}, {'feature': 'n_fast_food', 'shap': 0.4844}]","[{'feature': 'n_restaurant', 'shap': 1.2644}, {'feature': 'n_cafe', 'shap': 1.1039}, {'feature': 'n_bakery', 'shap': 0.4036}]","[{'feature': 'n_cafe', 'shap': 0.7592}, {'feature': 'n_restaurant', 'shap': 0.4717}, {'feature': 'node2vec_dim2', 'shap': -0.2012}]","[{'feature': 'n_restaurant', 'shap': 1.0343}, {'feature': 'n_cafe', 'shap': 0.8165}, {'feature': 'n_fast_food', 'shap': 0.6514}]",0.99068904,1,True Positive,0.98096794,1,True Positive,0.9757262,1,False Positive (Recommendation),0.93613154,1,True Positive,0.8285473,1,Expansion Opportunity,0.9561876,1,True Positive,True Positive,0.99068904,1,1,False,False,False,False,True,False,,,Competitive,,,,2.0,0.6836330474506482,561.4961254631181,51.55500535692234,-0.13742857533878003
89194ad3507ffff,"POLYGON ((-0.0430650523818195 51.513398658066684, -0.0451566552622267 51.51242028747267, -0.0447257380109251 51.51067353800321, -0.0422033745472239 51.50990517982051, -0.0401118664181615 51.510883529970265, -0.0405426270018659 51.512630258745574, -0.0430650523818195 51.513398658066684))",Tower Hamlets,1351.917724609375,4,5,0,4,0,0,0,0,0,0,0,4,10,8,11,4,1,4,5,0,4,69.51357466063347,41.378319477465176,58.684830749368054,5.486425339366512,12.324448345662718,37,94,88,219,4.48863636973214,4.553876891600541,3.6375861597263857,5.393627546352362,233.22426250117653,5.456279043155495,2,3,1.3862943611198906,0.00035528185693983896,0.008579995749041357,0.01856365307891437,0.4,0.007865674861121297,5.9213116739668365e-05,13,-10.985281,7.0579515,4.3835144,1,1,0,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.5169}, {'feature': 'n_restaurant', 'shap': 1.2578}, {'feature': 'property_crime_log1p', 'shap': 0.35}]","[{'feature': 'n_fast_food', 'shap': 1.4239}, {'feature': 'n_cafe', 'shap': 1.4104}, {'feature': 'population', 'shap': 0.3058}]","[{'feature': 'n_restaurant', 'shap': 1.0852}, {'feature': 'n_cafe', 'shap': 0.7595}, {'feature': 'n_fast_food', 'shap': 0.5122}]","[{'feature': 'n_restaurant', 'shap': 1.3271}, {'feature': 'n_cafe', 'shap': 1.1292}, {'feature': 'violent_crime_log1p', 'shap': 0.8618}]","[{'feature': 'n_cafe', 'shap': 0.5627}, {'feature': 'property_crime_log1p', 'shap': 0.4454}, {'feature': 'n_restaurant', 'shap': 0.4133}]","[{'feature': 'n_restaurant', 'shap': 1.0005}, {'feature': 'n_cafe', 'shap': 0.8603}, {'feature': 'n_fast_food', 'shap': 0.6489}]",0.97526985,1,Expansion Opportunity,0.971584,1,Expansion Opportunity,0.97453415,1,False Positive (Recommendation),0.9788906,1,Expansion Opportunity,0.8812935,1,False Positive (Recommendation),0.9317553,1,False Positive (Recommendation),Expansion Opportunity,0.97526985,1,1,True,True,False,True,False,False,,,Competitive,,Viable,Strong Recommend,2.0,0.5868483074936806,758.3706285577194,51.511651921134096,-0.04263422876009693
89195da642bffff,"POLYGON ((-0.1267102371673801 51.63407643070054, -0.1288063411985297 51.633098359835294, -0.1283716359319484 51.631352947183615, -0.1258409840656725 51.63058562582923, -0.1237449748619593 51.63156367609437, -0.1241795226974354 51.63330906831262, -0.1267102371673801 51.63407643070054))",Enfield,861.1242065429688,4,14,0,6,3,1,6,2,0,0,1,7,9,4,7,1,4,4,19,1,13,0.0,0.0,0.0,0.0,0.0,29,66,44,139,3.8066624897703196,4.204692619390966,3.4011973816621555,4.941642422609304,104.555217742986,4.65923420692364,1,7,2.0794415416798357,0.00035528185693983896,0.002631712830123689,0.014626004473909604,0.4,0.007865674861121297,5.9213116739668365e-05,2,0.78998965,13.246306,2.4461148,1,1,0,1,1,1,1,"[{'feature': 'n_fast_food', 'shap': 1.3874}, {'feature': 'n_restaurant', 'shap': 1.2076}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7873}]","[{'feature': 'n_cafe', 'shap': 1.3958}, {'feature': 'n_fast_food', 'shap': 1.2234}, {'feature': 'n_bakery', 'shap': 0.6592}]","[{'feature': 'n_restaurant', 'shap': 1.232}, {'feature': 'n_cafe', 'shap': 0.7749}, {'feature': 'n_fast_food', 'shap': 0.4948}]","[{'feature': 'n_restaurant', 'shap': 1.1958}, {'feature': 'n_cafe', 'shap': 0.99}, {'feature': 'bus_stop_count_log', 'shap': 0.5803}]","[{'feature': 'n_cafe', 'shap': 0.6869}, {'feature': 'n_restaurant', 'shap': 0.5443}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3465}]","[{'feature': 'n_restaurant', 'shap': 1.2811}, {'feature': 'n_cafe', 'shap': 0.827}, {'feature': 'n_fast_food', 'shap': 0.8008}]",0.99462306,1,Expansion Opportunity,0.99292576,1,Expansion Opportunity,0.9732867,1,False Positive (Recommendation),0.9866367,1,Expansion Opportunity,0.8944967,1,Expansion Opportunity,0.95920575,1,True Positive,Expansion Opportunity,0.99462306,1,1,True,True,False,True,True,False,,,Viable,,,,1.0,0.0,38.0,51.63233103046657,-0.1262756258012593
89195da6d2fffff,"POLYGON ((-0.0731832161541241 51.559712782619904, -0.075276543225377 51.558734569851, -0.0748442422828799 51.55698833827734, -0.0723187712273599 51.55622034006926, -0.0702255389445466 51.55719853233749, -0.0706576829292114 51.55894474331307, -0.0731832161541241 51.559712782619904))",Hackney,1062.51318359375,4,3,0,1,1,1,1,0,0,0,0,33,37,25,21,2,7,4,4,0,3,64.27708417237214,36.62417408247888,56.266582201291165,8.457511075312125,13.610336383665624,46,117,144,307,4.976733742420574,4.770684624465665,3.8501476017100584,5.730099782973574,313.70079779586104,5.7516223391668015,2,1,0.6931471805599453,0.00035528185693983896,0.0077936742066341365,0.017913652565965377,0.4,0.007865674861121297,5.9213116739668365e-05,13,-7.4180093,10.04898,6.1030197,1,1,0,1,1,1,1,"[{'feature': 'n_restaurant', 'shap': 1.1535}, {'feature': 'n_bakery', 'shap': 0.6769}, {'feature': 'n_fast_food', 'shap': 0.5629}]","[{'feature': 'n_cafe', 'shap': 1.4789}, {'feature': 'n_fast_food', 'shap': 0.6899}, {'feature': 'n_bakery', 'shap': 0.6704}]","[{'feature': 'n_restaurant', 'shap': 0.9419}, {'feature': 'n_cafe', 'shap': 0.6576}, {'feature': 'nearby_pub', 'shap': 0.4489}]","[{'feature': 'n_restaurant', 'shap': 1.1692}, {'feature': 'n_cafe', 'shap': 1.0166}, {'feature': 'violent_crime_log1p', 'shap': 0.7841}]","[{'feature': 'n_cafe', 'shap': 0.6789}, {'feature': 'n_restaurant', 'shap': 0.4572}, {'feature': 'property_crime_log1p', 'shap': 0.3467}]","[{'feature': 'n_cafe', 'shap': 0.8151}, {'feature': 'n_restaurant', 'shap': 0.8009}, {'feature': 'property_crime_log1p', 'shap': 0.3498}]",0.9819348,1,True Positive,0.9859336,1,True Positive,0.97227097,1,False Positive (Recommendation),0.9679739,1,True Positive,0.8301384,1,Expansion Opportunity,0.93894315,1,True Positive,True Positive,0.9819348,1,1,False,False,False,False,True,False,,,Competitive,,,,2.0,0.5626658220129116,557.839853846333,51.557966563539765,-0.07275100894735037
89194ad120bffff,"POLYGON ((-0.170759339107061 51.47304512768939, -0.1728495714901358 51.4720632346899, -0.1724145811257732 51.470315445233844, -0.1698895149751434 51.46954956925478, -0.1677993767146717 51.470531441609374, -0.1682342104825957 51.47227921058652, -0.170759339107061 51.47304512768939))",Wandsworth,1179.492919921875,6,5,0,2,0,1,0,0,0,0,0,17,21,14,10,5,1,6,5,0,3,69.5314831393614,44.359248937668774,61.31202826658961,7.967770814682185,10.216790703868302,31,65,43,139,3.784189633918261,4.189654742026425,3.4657359027997265,4.941642422609304,760.8156403253333,6.635704584583729,1,2,1.0986122886681098,0.00035528185693983896,0.00899770638754757,0.018366325929099023,0.4,0.007865674861121297,5.9213116739668365e-05,10,-6.9238963,9.877364,5.9054813,1,1,0,1,0,1,1,"[{'feature': 'n_restaurant', 'shap': 1.206}, {'feature': 'n_fast_food', 'shap': 0.7983}, {'feature': 'n_bakery', 'shap': 0.6291}]","[{'feature': 'n_cafe', 'shap': 1.458}, {'feature': 'n_fast_food', 'shap': 1.1332}, {'feature': 'n_bakery', 'shap': 0.7048}]","[{'feature': 'n_restaurant', 'shap': 1.0555}, {'feature': 'n_cafe', 'shap': 0.8006}, {'feature': 'n_fast_food', 'shap': 0.4032}]","[{'feature': 'n_restaurant', 'shap': 1.2919}, {'feature': 'n_cafe', 'shap': 1.1318}, {'feature': 'n_bakery', 'shap': 0.3569}]","[{'feature': 'n_cafe', 'shap': 0.5378}, {'feature': 'n_restaurant', 'shap': 0.3563}, {'feature': 'nearby_gym', 'shap': 0.3057}]","[{'feature': 'n_restaurant', 'shap': 1.0511}, {'feature': 'n_cafe', 'shap': 0.8911}, {'feature': 'n_fast_food', 'shap': 0.35}]",0.96916807,1,Expansion Opportunity,0.98498684,1,Expansion Opportunity,0.97208256,1,False Positive (Recommendation),0.91427106,1,Expansion Opportunity,0.8124112,1,False Positive (Recommendation),0.8960176,1,Expansion Opportunity,Expansion Opportunity,0.96916807,1,1,True,True,False,True,False,True,,,Competitive,,Viable,,2.0,0.613120282665896,658.1710324649231,51.4712973506305,-0.17032444210630224
89195da4b43ffff,"POLYGON ((-0.1874812537115833 51.51204056284135, -0.1895729248666932 51.51105899196927, -0.1891370639681313 51.509311672140996, -0.186609688744427 51.50854594359822, -0.1845181117752451 51.50952749379213, -0.1849538158442116 51.51127479320556, -0.1874812537115833 51.51204056284135))",City of Westminster,978.3013305664062,4,15,0,3,2,0,2,0,0,0,1,51,72,23,18,5,5,4,17,1,5,54.26487093153757,52.367244699351716,68.244648468514,7.407407407407412,7.277074811673887,50,168,103,321,4.6443908991413725,5.1298987149230735,3.9318256327243257,5.7745515455444085,23.843980204264277,3.212615477895269,3,4,1.6094379124341003,0.00035528185693983896,0.008269397219145424,0.018528820907319294,0.4,0.007865674861121297,5.9213116739668365e-05,20,-4.677915,11.070607,5.729276,1,1,0,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.142}, {'feature': 'n_restaurant', 'shap': 1.1326}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7814}]","[{'feature': 'n_cafe', 'shap': 1.4192}, {'feature': 'n_fast_food', 'shap': 1.1649}, {'feature': 'n_supermarket', 'shap': 0.3803}]","[{'feature': 'n_restaurant', 'shap': 1.1865}, {'feature': 'n_cafe', 'shap': 0.7318}, {'feature': 'n_fast_food', 'shap': 0.453}]","[{'feature': 'n_restaurant', 'shap': 1.3057}, {'feature': 'n_cafe', 'shap': 1.0825}, {'feature': 'violent_crime_log1p', 'shap': 0.8237}]","[{'feature': 'n_cafe', 'shap': 0.5171}, {'feature': 'property_crime_log1p', 'shap': 0.4604}, {'feature': 'n_restaurant', 'shap': 0.4197}]","[{'feature': 'n_restaurant', 'shap': 1.1026}, {'feature': 'n_cafe', 'shap': 0.8035}, {'feature': 'n_fast_food', 'shap': 0.5914}]",0.9925141,1,True Positive,0.9909258,1,True Positive,0.9717951,1,False Positive (Recommendation),0.98343843,1,True Positive,0.94749016,1,Expansion Opportunity,0.9575639,1,False Positive (Recommendation),True Positive,0.9925141,1,1,False,False,False,False,True,False,,,Competitive,,,Viable,2.0,0.68244648468514,695.6383040078391,51.51029325538375,-0.1870454862748936
89195da6ccfffff,"POLYGON ((-0.1024179619471538 51.5928135662689, -0.1045125289462469 51.59183529735907, -0.1040789728284068 51.59008940857084, -0.1015510068865727 51.58932180920536, -0.0994565346722869 51.59030005756158, -0.0998899336154318 51.59204592583544, -0.1024179619471538 51.5928135662689))",Haringey,967.0215454101562,9,4,0,7,0,3,3,0,0,0,2,19,26,8,23,3,2,9,4,2,13,63.25301204819275,40.39489663964848,46.767919134163755,8.433734939759036,18.346947110475792,29,212,178,419,5.187385805840755,5.3612921657094255,3.4011973816621555,6.040254711277414,115.03693680798976,4.753908561179767,2,9,2.302585092994046,0.00035528185693983896,0.005671618704398897,0.016691230095232375,0.4,0.007865674861121297,5.9213116739668365e-05,21,-4.221523,11.628588,5.735057,1,1,0,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.5023}, {'feature': 'n_restaurant', 'shap': 1.1081}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.8162}]","[{'feature': 'n_cafe', 'shap': 1.4488}, {'feature': 'n_fast_food', 'shap': 1.1684}, {'feature': 'n_bakery', 'shap': 0.6771}]","[{'feature': 'n_restaurant', 'shap': 1.0294}, {'feature': 'n_cafe', 'shap': 0.8347}, {'feature': 'n_fast_food', 'shap': 0.5259}]","[{'feature': 'n_restaurant', 'shap': 1.1515}, {'feature': 'n_cafe', 'shap': 1.0656}, {'feature': 'violent_crime_log1p', 'shap': 0.7801}]","[{'feature': 'n_cafe', 'shap': 0.5973}, {'feature': 'property_crime_log1p', 'shap': 0.4608}, {'feature': 'n_restaurant', 'shap': 0.4318}]","[{'feature': 'n_restaurant', 'shap': 0.9221}, {'feature': 'n_cafe', 'shap': 0.8398}, {'feature': 'n_fast_food', 'shap': 0.7337}]",0.995089,1,True Positive,0.9932494,1,True Positive,0.96996313,1,False Positive (Recommendation),0.9911917,1,True Positive,0.8988709,1,False Positive (Recommendation),0.9581621,1,Expansion Opportunity,True Positive,0.995089,1,1,False,False,False,False,False,True,,,Competitive,,Strong Recommend,,3.0,0.46767919134163755,343.25585436736253,51.59106768993423,-0.10198449963221705
89194ad3097ffff,"POLYGON ((-0.0657724027756089 51.520312332330086, -0.0678642788681662 51.519333584619304, -0.0674325305091075 51.517586842079325, -0.0649090627904424 51.516818867893164, -0.0628172813842575 51.51779759512169, -0.0632488730107786 51.5195443170172, -0.0657724027756089 51.520312332330086))",Tower Hamlets,2299.000732421875,3,3,0,8,1,0,0,0,0,0,0,86,121,38,67,9,8,3,4,0,8,50.60352831940576,49.45399975881145,42.666221495697755,6.499535747446611,19.80405389078543,73,184,188,445,5.241747015059643,5.220355825078324,4.30406509320417,6.100318952020064,388.1012059146346,5.963839479226606,3,2,1.0986122886681098,0.00035528185693983896,0.008560105043193522,0.018809517775488414,0.4,0.007865674861121297,5.9213116739668365e-05,13,-9.939829,7.9225307,5.100839,1,1,0,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.6328}, {'feature': 'n_restaurant', 'shap': 1.2446}, {'feature': 'nearby_cafe', 'shap': 0.3499}]","[{'feature': 'n_cafe', 'shap': 1.2603}, {'feature': 'n_fast_food', 'shap': 1.2588}, {'feature': 'population', 'shap': 0.4941}]","[{'feature': 'n_restaurant', 'shap': 0.8998}, {'feature': 'nearby_pub', 'shap': 0.855}, {'feature': 'n_cafe', 'shap': 0.482}]","[{'feature': 'n_restaurant', 'shap': 1.1825}, {'feature': 'n_cafe', 'shap': 1.0875}, {'feature': 'violent_crime_log1p', 'shap': 0.842}]","[{'feature': 'property_crime_log1p', 'shap': 0.4829}, {'feature': 'n_cafe', 'shap': 0.4409}, {'feature': 'n_restaurant', 'shap': 0.4066}]","[{'feature': 'n_fast_food', 'shap': 0.7317}, {'feature': 'n_restaurant', 'shap': 0.7311}, {'feature': 'n_cafe', 'shap': 0.4223}]",0.9885278,1,True Positive,0.9775894,1,True Positive,0.96910113,1,False Positive (Recommendation),0.97501963,1,True Positive,0.9127953,1,True Positive,0.82907546,0,True Negative,True Positive,0.9885278,1,1,False,False,False,False,False,False,,,Competitive,,,,3.0,0.42666221495697754,955.8967446828308,51.518565602299496,-0.06534074804151607
89195da49c3ffff,"POLYGON ((-0.1472178887027563 51.51921618434219, -0.1493097918516785 51.51823562588124, -0.1488752576875654 51.516488556872936, -0.1463489771971379 51.51572206681148, -0.1442571684147038 51.51670260465829, -0.1446915457566035 51.518449653179296, -0.1472178887027563 51.51921618434219))",City of Westminster,3728.976806640625,1,3,0,1,0,0,0,1,0,0,0,139,280,102,70,13,12,1,4,0,1,71.9387755102041,35.1931330472103,77.0408163265306,6.63265306122449,5.10204081632653,21,141,36,198,3.6109179126442243,4.955827057601261,3.091042453358316,5.293304824724492,403.8560754084525,6.003531634586039,5,0,0.0,0.00035528185693983896,0.00883032918998157,0.01899080831746302,0.4,0.007865674861121297,5.9213116739668365e-05,20,-7.1658454,10.112905,6.095583,1,1,0,1,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.2157}, {'feature': 'n_fast_food', 'shap': 0.6655}, {'feature': 'n_office', 'shap': 0.4758}]","[{'feature': 'n_fast_food', 'shap': 0.6965}, {'feature': 'population', 'shap': 0.6205}, {'feature': 'n_cafe', 'shap': 0.5794}]","[{'feature': 'n_restaurant', 'shap': 0.953}, {'feature': 'nearby_pub', 'shap': 0.8938}, {'feature': 'population', 'shap': 0.3345}]","[{'feature': 'n_restaurant', 'shap': 1.1226}, {'feature': 'bus_stop_count_log', 'shap': -0.5961}, {'feature': 'n_cafe', 'shap': 0.5477}]","[{'feature': 'n_restaurant', 'shap': 0.3633}, {'feature': 'nearby_gym', 'shap': 0.3303}, {'feature': 'population', 'shap': 0.2942}]","[{'feature': 'n_restaurant', 'shap': 0.5194}, {'feature': 'n_cafe', 'shap': 0.3688}, {'feature': 'property_crime_log1p', 'shap': 0.2957}]",0.9631561,1,True Positive,0.95633847,1,True Positive,0.9688231,1,False Positive (Recommendation),0.6746092,0,False Negative,0.80252856,1,False Positive (Recommendation),0.598839,0,True Negative,True Positive,0.9631561,1,1,False,False,False,False,False,False,,,Competitive,,Competitive,,2.0,0.770408163265306,2877.83417246293,51.51746912774965,-0.14678344806812188
